nr_of_shots,expert_pattern,precision,recall,f1,time
3,0,0.92,0.74,0.82,0.62
3,0,0.93,0.76,0.83,0.76
3,0,0.95,0.74,0.84,0.64
3,0,0.93,0.77,0.84,0.63
3,0,0.93,0.76,0.83,0.67
3,0,0.92,0.74,0.82,0.63
3,0,0.94,0.76,0.84,0.64
3,0,0.92,0.78,0.84,0.72
3,0,0.92,0.75,0.83,0.61
3,0,0.92,0.74,0.82,0.60
3,0,0.92,0.74,0.82,0.67
3,0,0.92,0.75,0.83,0.65
3,0,0.92,0.76,0.84,0.64
3,0,0.92,0.73,0.82,0.62
3,0,0.92,0.74,0.82,0.63
3,0,0.92,0.74,0.82,0.62
3,0,0.94,0.74,0.83,0.64
3,0,0.94,0.73,0.82,0.62
3,0,0.91,0.74,0.81,0.61
3,0,0.90,0.71,0.79,0.60
3,0,0.91,0.75,0.82,0.63
3,0,0.94,0.75,0.83,0.60
3,0,0.92,0.76,0.83,0.65
3,0,0.91,0.74,0.82,0.69
3,0,0.91,0.70,0.79,0.61
3,0,0.91,0.74,0.82,0.65
3,0,0.91,0.76,0.83,0.61
3,0,0.92,0.74,0.82,0.64
3,0,0.92,0.74,0.82,0.67
3,0,0.91,0.74,0.82,0.63
3,0,0.90,0.76,0.83,0.69
3,1,0.92,0.78,0.84,0.53
3,1,0.91,0.76,0.83,0.51
3,1,0.90,0.81,0.86,0.54
3,1,0.87,0.78,0.82,0.54
3,1,0.91,0.79,0.84,0.51
3,1,0.91,0.78,0.84,0.49
3,1,0.88,0.77,0.82,0.58
3,1,0.91,0.79,0.84,0.47
3,1,0.90,0.74,0.82,0.53
3,1,0.89,0.77,0.83,0.52
3,1,0.89,0.78,0.83,0.57
3,1,0.90,0.77,0.83,0.55
3,1,0.92,0.78,0.84,0.48
3,1,0.89,0.79,0.83,0.57
3,1,0.91,0.79,0.85,0.52
3,1,0.91,0.75,0.82,0.58
3,1,0.90,0.75,0.82,0.49
3,1,0.90,0.78,0.83,0.63
3,1,0.90,0.75,0.82,0.47
3,1,0.91,0.78,0.84,0.56
3,1,0.92,0.80,0.86,0.58
3,1,0.87,0.78,0.83,0.48
3,1,0.90,0.73,0.81,0.53
3,1,0.92,0.76,0.83,0.49
3,1,0.89,0.78,0.83,0.53
3,1,0.90,0.78,0.84,0.49
3,1,0.90,0.77,0.83,0.50
3,1,0.91,0.79,0.85,0.49
3,1,0.94,0.76,0.84,0.48
3,1,0.89,0.78,0.83,0.55
4,1,0.88,0.84,0.86,0.60
4,1,0.88,0.80,0.84,0.61
4,1,0.89,0.84,0.86,0.56
4,1,0.91,0.86,0.88,0.54
4,1,0.85,0.84,0.85,0.56
4,1,0.85,0.84,0.84,0.63
4,1,0.89,0.85,0.87,0.59
4,1,0.85,0.81,0.83,0.59
4,1,0.89,0.81,0.85,0.52
4,1,0.87,0.84,0.85,0.52
4,1,0.89,0.82,0.86,0.51
4,1,0.88,0.84,0.86,0.56
4,1,0.87,0.84,0.86,0.59
4,1,0.89,0.83,0.86,0.59
4,1,0.88,0.81,0.85,0.64
4,1,0.88,0.83,0.85,0.60
4,1,0.87,0.84,0.85,0.54
4,1,0.89,0.83,0.86,0.61
4,1,0.90,0.83,0.86,0.53
4,1,0.89,0.82,0.85,0.51
4,1,0.90,0.83,0.87,0.51
4,1,0.90,0.83,0.86,0.56
4,1,0.90,0.83,0.87,0.52
4,1,0.89,0.84,0.87,0.51
4,1,0.88,0.83,0.86,0.52
4,1,0.89,0.82,0.85,0.59
4,1,0.88,0.83,0.86,0.60
4,1,0.89,0.83,0.86,0.63
4,1,0.86,0.80,0.83,0.49
4,1,0.91,0.84,0.87,0.52
4,0,0.88,0.84,0.86,0.70
4,0,0.92,0.84,0.88,0.73
4,0,0.87,0.84,0.86,0.72
4,0,0.92,0.81,0.86,0.74
4,0,0.91,0.81,0.85,0.68
4,0,0.87,0.81,0.83,0.77
4,0,0.87,0.81,0.84,0.78
4,0,0.92,0.82,0.87,0.67
4,0,0.88,0.83,0.86,0.76
4,0,0.92,0.81,0.86,0.68
4,0,0.87,0.82,0.85,0.67
4,0,0.85,0.82,0.83,0.70
4,0,0.90,0.82,0.86,0.72
4,0,0.89,0.82,0.85,0.79
4,0,0.88,0.82,0.85,0.72
4,0,0.91,0.84,0.87,0.71
4,0,0.89,0.82,0.85,0.70
4,0,0.88,0.82,0.85,0.68
4,0,0.86,0.81,0.84,0.70
4,0,0.90,0.86,0.88,0.73
4,0,0.89,0.83,0.86,0.77
4,0,0.88,0.81,0.84,0.71
4,0,0.91,0.85,0.88,0.67
4,0,0.90,0.82,0.86,1.18
4,0,0.90,0.81,0.85,0.69
4,0,0.89,0.84,0.86,0.75
4,0,0.90,0.83,0.87,0.70
4,0,0.88,0.79,0.84,0.69
4,0,0.90,0.81,0.85,0.76
4,0,0.87,0.84,0.85,0.71
2,0,0.90,0.81,0.85,0.77
2,0,0.92,0.81,0.86,0.73
2,0,0.94,0.84,0.89,0.74
2,0,0.92,0.81,0.86,0.68
2,0,0.90,0.82,0.86,0.74
2,0,0.91,0.83,0.87,0.72
2,0,0.92,0.79,0.85,0.69
2,0,0.90,0.83,0.87,0.68
2,0,0.90,0.81,0.86,0.67
2,0,0.93,0.81,0.87,0.74
2,0,0.91,0.78,0.84,0.69
2,0,0.91,0.84,0.88,0.72
2,0,0.92,0.82,0.87,0.69
2,0,0.93,0.82,0.87,0.71
2,0,0.91,0.81,0.86,0.67
2,0,0.92,0.84,0.88,0.72
2,0,0.92,0.84,0.88,0.75
2,0,0.90,0.82,0.86,0.71
2,0,0.91,0.81,0.85,0.69
2,0,0.91,0.81,0.85,0.68
2,1,0.92,0.82,0.87,0.53
2,1,0.88,0.84,0.86,0.55
2,1,0.90,0.82,0.86,0.54
2,1,0.92,0.80,0.86,0.50
2,1,0.91,0.81,0.85,0.52
2,1,0.87,0.81,0.84,0.53
2,1,0.91,0.81,0.86,0.53
2,1,0.89,0.82,0.85,0.52
2,1,0.88,0.84,0.86,0.53
2,1,0.90,0.81,0.85,0.56
2,1,0.89,0.80,0.84,0.50
2,1,0.92,0.83,0.88,0.52
2,1,0.90,0.82,0.86,0.51
2,1,0.92,0.81,0.86,0.51
2,1,0.90,0.83,0.86,0.53
2,1,0.88,0.85,0.87,0.55
2,1,0.91,0.81,0.85,0.52
2,1,0.90,0.80,0.84,0.59
2,1,0.94,0.82,0.88,0.52
2,1,0.89,0.82,0.86,0.57
0,0,0.85,0.78,0.81,0.77
0,0,0.87,0.79,0.83,0.75
0,0,0.87,0.85,0.86,0.79
0,0,0.87,0.81,0.83,0.75
0,0,0.90,0.82,0.86,0.72
0,0,0.88,0.79,0.84,0.70
0,0,0.85,0.81,0.83,0.72
0,0,0.85,0.82,0.84,0.77
0,0,0.86,0.86,0.86,0.79
0,0,0.88,0.81,0.84,0.72
0,0,0.86,0.80,0.83,0.68
0,0,0.89,0.81,0.85,0.73
0,0,0.84,0.83,0.84,0.78
0,0,0.86,0.86,0.86,0.75
0,0,0.88,0.84,0.86,0.75
0,0,0.85,0.81,0.83,0.79
0,0,0.87,0.81,0.84,0.72
0,0,0.87,0.79,0.83,0.75
0,0,0.88,0.83,0.86,0.85
0,0,0.87,0.84,0.85,0.75
